,Coefficient
index,14.32709360639938
Unnamed: 0,14.025692535165893
summit_elev,0.47304573931195804
vertical_drop,1.5360754913436239
trams,9.325873406851315e-14
fastEight,7.194245199571014e-14
fastSixes,3.175237850427948e-14
fastQuads,0.0017318501346015869
quad,1.088131747783795
triple,0.7029449555856955
double,1.0226992306220088
surface,1.280250017476337
total_chairs,0.4732094641818587
Runs,0.3339563380890166
TerrainParks,0.5107513550502483
LongestRun_mi,0.17289101395071377
SkiableTerrain_ac,0.14484184318080473
Snow Making_ac,0.35826553070648515
daysOpenLastYear,2.4877803114742885
yearsOpen,0.5725982863089802
averageSnowfall,1.7593142248634686
AdultWeekday,11.79705104996134
projectedDaysOpen,1.5805674220105501
NightSkiing_ac,0.3411702384666152
cluster,2.7148338064660695
